age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,class
2,management,married,tertiary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,technician,single,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,entrepreneur,married,secondary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
1,blue-collar,married,unknown,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,unknown,single,unknown,no,0,no,no,unknown,0,may,0,0,0,unknown,no
1,management,married,tertiary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
0,management,single,tertiary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
1,entrepreneur,divorced,tertiary,yes,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,retired,married,primary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,technician,single,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,admin.,divorced,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
0,admin.,single,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,technician,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,technician,married,unknown,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,services,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,retired,married,primary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,admin.,single,unknown,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,blue-collar,married,primary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,retired,married,primary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,services,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
0,blue-collar,married,secondary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
2,management,married,tertiary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
0,blue-collar,single,primary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
0,services,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,retired,married,primary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
1,admin.,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,management,single,tertiary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,entrepreneur,married,secondary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
1,management,single,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
1,technician,single,secondary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
2,technician,married,secondary,no,0,no,yes,unknown,0,may,0,0,0,unknown,no
2,management,married,tertiary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,admin.,married,secondary,no,0,yes,yes,unknown,0,may,0,0,0,unknown,no
2,blue-collar,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,management,married,tertiary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,technician,divorced,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
0,blue-collar,married,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
2,technician,married,secondary,no,0,no,no,unknown,0,may,1,0,0,unknown,no
1,admin.,divorced,secondary,no,0,yes,no,unknown,0,may,0,0,0,unknown,no
