age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,class
0,management,married,tertiary,no,1,yes,no,unknown,1,may,0,1,1,unknown,no
0,technician,single,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,entrepreneur,married,secondary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
0,blue-collar,married,unknown,no,1,yes,no,unknown,1,may,0,1,1,unknown,no
0,unknown,single,unknown,no,0,no,no,unknown,1,may,0,1,1,unknown,no
0,management,married,tertiary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,management,single,tertiary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
0,entrepreneur,divorced,tertiary,yes,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,retired,married,primary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,technician,single,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,admin.,divorced,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,admin.,single,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,technician,married,secondary,no,0,yes,no,unknown,1,may,1,1,1,unknown,no
0,technician,married,unknown,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,services,married,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,retired,married,primary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,admin.,single,unknown,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,blue-collar,married,primary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
1,retired,married,primary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,services,married,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,blue-collar,married,secondary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
0,management,married,tertiary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,blue-collar,single,primary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
0,services,married,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,retired,married,primary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
0,admin.,married,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,management,single,tertiary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,entrepreneur,married,secondary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
0,management,single,secondary,no,0,yes,no,unknown,1,may,0,1,1,unknown,no
0,technician,single,secondary,no,0,yes,yes,unknown,1,may,0,1,1,unknown,no
