age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,poutcome,class
4,management,married,tertiary,no,4,yes,no,unknown,0,may,3,1,1,unknown,no
3,technician,single,secondary,no,1,yes,no,unknown,0,may,2,1,1,unknown,no
1,entrepreneur,married,secondary,no,0,yes,yes,unknown,0,may,0,1,1,unknown,no
3,blue-collar,married,unknown,no,3,yes,no,unknown,0,may,1,1,1,unknown,no
1,unknown,single,unknown,no,0,no,no,unknown,0,may,2,1,1,unknown,no
1,management,married,tertiary,no,1,yes,no,unknown,0,may,1,1,1,unknown,no
0,management,single,tertiary,no,2,yes,yes,unknown,0,may,2,1,1,unknown,no
3,entrepreneur,divorced,tertiary,yes,0,yes,no,unknown,0,may,4,1,1,unknown,no
4,retired,married,primary,no,1,yes,no,unknown,0,may,0,1,1,unknown,no
3,technician,single,secondary,no,2,yes,no,unknown,0,may,0,1,1,unknown,no
2,admin.,divorced,secondary,no,2,yes,no,unknown,0,may,3,1,1,unknown,no
0,admin.,single,secondary,no,2,yes,no,unknown,0,may,1,1,1,unknown,no
4,technician,married,secondary,no,0,yes,no,unknown,0,may,4,1,1,unknown,no
4,technician,married,unknown,no,1,yes,no,unknown,0,may,0,1,1,unknown,no
4,services,married,secondary,no,1,yes,no,unknown,0,may,2,1,1,unknown,no
4,retired,married,primary,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
3,admin.,single,unknown,no,0,yes,no,unknown,0,may,1,1,1,unknown,no
4,blue-collar,married,primary,no,1,yes,no,unknown,0,may,0,1,1,unknown,no
4,retired,married,primary,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
1,services,married,secondary,no,0,yes,no,unknown,0,may,3,1,1,unknown,no
0,blue-collar,married,secondary,no,3,yes,yes,unknown,0,may,3,1,1,unknown,no
4,management,married,tertiary,no,3,yes,no,unknown,0,may,2,1,1,unknown,no
1,blue-collar,single,primary,no,1,yes,yes,unknown,0,may,2,1,1,unknown,no
0,services,married,secondary,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
2,retired,married,primary,no,0,yes,yes,unknown,0,may,2,1,1,unknown,no
3,admin.,married,secondary,no,0,yes,no,unknown,0,may,2,1,1,unknown,no
2,management,single,tertiary,no,2,yes,no,unknown,0,may,3,1,1,unknown,no
4,entrepreneur,married,secondary,no,1,yes,yes,unknown,0,may,3,1,1,unknown,no
3,management,single,secondary,no,0,yes,no,unknown,0,may,3,2,1,unknown,no
2,technician,single,secondary,no,2,yes,yes,unknown,0,may,3,1,1,unknown,no
4,technician,married,secondary,no,3,no,yes,unknown,0,may,3,1,1,unknown,no
3,management,married,tertiary,no,2,yes,no,unknown,0,may,3,1,1,unknown,no
4,admin.,married,secondary,no,1,yes,yes,unknown,0,may,2,1,1,unknown,no
4,blue-collar,married,secondary,no,0,yes,no,unknown,0,may,3,1,1,unknown,no
4,management,married,tertiary,no,4,yes,no,unknown,0,may,3,1,1,unknown,no
4,technician,divorced,secondary,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
0,blue-collar,married,secondary,no,0,yes,no,unknown,0,may,4,1,1,unknown,no
4,technician,married,secondary,no,0,no,no,unknown,0,may,4,1,1,unknown,no
2,admin.,divorced,secondary,no,2,yes,no,unknown,0,may,4,1,1,unknown,no
2,admin.,single,secondary,no,0,yes,no,unknown,0,may,1,1,1,unknown,no
3,services,divorced,secondary,no,4,yes,no,unknown,0,may,2,1,1,unknown,no
4,management,married,secondary,no,1,yes,no,unknown,0,may,2,2,1,unknown,no
4,blue-collar,married,unknown,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
4,retired,married,secondary,no,2,yes,no,unknown,0,may,4,1,1,unknown,no
4,retired,married,unknown,no,1,yes,no,unknown,0,may,4,1,1,unknown,no
2,admin.,single,primary,no,0,yes,no,unknown,0,may,3,1,1,unknown,no
4,self-employed,married,tertiary,no,0,yes,no,unknown,0,may,3,1,1,unknown,no
3,technician,married,secondary,no,0,yes,no,unknown,0,may,3,2,1,unknown,no
4,technician,divorced,secondary,no,0,no,no,unknown,0,may,2,1,1,unknown,no
0,management,single,tertiary,no,0,yes,no,unknown,0,may,4,1,1,unknown,no
4,blue-collar,married,secondary,no,3,yes,no,unknown,0,may,3,1,1,unknown,no
3,management,divorced,tertiary,no,0,yes,no,unknown,0,may,3,1,1,unknown,no
1,management,married,tertiary,no,0,yes,no,unknown,0,may,3,1,1,unknown,no
3,admin.,single,secondary,no,0,yes,no,unknown,0,may,4,1,1,unknown,no
0,technician,single,secondary,no,0,yes,yes,unknown,0,may,2,1,1,unknown,no
2,entrepreneur,single,tertiary,no,1,no,yes,unknown,0,may,2,1,1,unknown,no
2,management,single,tertiary,no,2,yes,no,unknown,0,may,1,1,1,unknown,no
3,blue-collar,married,unknown,no,2,yes,no,unknown,0,may,0,1,1,unknown,no
2,blue-collar,single,unknown,no,1,yes,no,cellular,0,may,2,1,1,unknown,no
3,services,married,primary,no,1,yes,no,unknown,0,may,4,1,1,unknown,no
1,admin.,married,tertiary,no,0,yes,no,unknown,0,may,1,1,1,unknown,no
4,technician,divorced,secondary,no,3,yes,no,unknown,0,may,4,1,1,unknown,no
4,blue-collar,married,primary,no,1,yes,no,unknown,0,may,2,1,1,unknown,no
1,services,married,secondary,no,3,yes,no,cellular,0,may,3,1,1,unknown,no
3,blue-collar,married,unknown,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
4,management,married,tertiary,no,4,yes,no,unknown,0,may,3,1,1,unknown,no
4,retired,married,tertiary,no,1,no,no,unknown,0,may,4,1,1,unknown,no
4,management,divorced,tertiary,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
4,technician,married,secondary,no,3,yes,no,unknown,0,may,2,2,1,unknown,no
1,blue-collar,single,secondary,no,4,yes,yes,unknown,0,may,2,1,1,unknown,no
4,blue-collar,married,secondary,no,4,yes,yes,unknown,0,may,3,1,1,unknown,no
0,services,married,secondary,no,1,yes,yes,unknown,0,may,2,1,1,unknown,no
4,management,married,secondary,no,2,yes,yes,unknown,0,may,2,1,1,unknown,no
4,blue-collar,married,primary,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
3,technician,married,secondary,no,4,yes,no,unknown,0,may,2,1,1,unknown,no
4,technician,married,secondary,no,2,yes,no,unknown,0,may,2,1,1,unknown,no
3,blue-collar,married,secondary,no,2,no,yes,unknown,0,may,2,1,1,unknown,no
4,services,divorced,secondary,no,1,no,no,unknown,0,may,3,1,1,unknown,no
3,services,divorced,secondary,no,0,yes,yes,unknown,0,may,3,1,1,unknown,no
4,services,divorced,secondary,yes,0,yes,no,unknown,0,may,2,1,1,unknown,no
3,admin.,single,secondary,no,1,yes,no,unknown,0,may,2,1,1,unknown,no
3,services,divorced,secondary,no,1,no,no,unknown,0,may,2,1,1,unknown,no
3,technician,single,secondary,no,3,yes,no,unknown,0,may,0,1,1,unknown,no
4,admin.,married,secondary,no,4,yes,no,unknown,0,may,4,1,1,unknown,yes
3,self-employed,married,tertiary,no,1,yes,yes,unknown,0,may,3,1,1,unknown,no
4,blue-collar,married,primary,no,1,yes,no,unknown,0,may,4,2,1,unknown,no
4,admin.,married,secondary,no,3,no,no,unknown,0,may,3,1,1,unknown,yes
2,technician,married,secondary,no,3,yes,no,unknown,0,may,4,1,1,unknown,yes
3,management,divorced,secondary,no,1,yes,yes,unknown,0,may,2,2,1,unknown,no
4,retired,married,secondary,no,2,yes,no,unknown,0,may,2,2,1,unknown,no
3,management,single,secondary,no,1,no,no,unknown,0,may,0,1,1,unknown,no
0,technician,married,secondary,no,1,yes,yes,unknown,0,may,2,2,1,unknown,no
4,admin.,married,secondary,no,2,yes,no,unknown,0,may,4,1,1,unknown,no
4,blue-collar,married,unknown,no,1,yes,no,unknown,0,may,3,1,1,unknown,no
4,entrepreneur,divorced,secondary,no,0,no,no,cellular,0,may,2,1,1,unknown,no
2,management,married,tertiary,no,1,yes,yes,unknown,0,may,4,1,1,unknown,no
4,blue-collar,married,secondary,no,2,no,no,unknown,0,may,3,1,1,unknown,no
4,retired,married,tertiary,no,1,yes,no,unknown,0,may,1,1,1,unknown,no
2,technician,married,secondary,no,0,yes,no,unknown,0,may,2,1,1,unknown,no
